941
186, 174
575, 246
305, 624
206, 136, 0
599, 220, 1
306, 663, 2
597, 281, 1
318, 621, 2
200, 167, 0
558, 253, 1
337, 620, 2
596, 269, 1
614, 231, 1
578, 278, 1
607, 225, 1
571, 252, 1
567, 236, 1
231, 210, 0
338, 636, 2
337, 664, 2
288, 685, 2
340, 639, 2
293, 618, 2
557, 287, 1
598, 229, 1
174, 186, 0
333, 657, 2
218, 190, 0
161, 157, 0
359, 598, 2
306, 662, 2
342, 624, 2
588, 273, 1
560, 269, 1
193, 156, 0
142, 135, 0
356, 633, 2
163, 173, 0
579, 296, 1
201, 183, 0
600, 216, 1
634, 240, 1
284, 579, 2
199, 205, 0
586, 256, 1
196, 154, 0
236, 142, 0
309, 584, 2
338, 628, 2
582, 248, 1
295, 674, 2
309, 611, 2
619, 243, 1
550, 218, 1
586, 204, 1
611, 263, 1
578, 228, 1
597, 233, 1
241, 146, 0
189, 166, 0
177, 190, 0
567, 308, 1
606, 251, 1
542, 230, 1
600, 255, 1
272, 630, 2
354, 640, 2
592, 232, 1
361, 605, 2
577, 225, 1
293, 657, 2
301, 653, 2
546, 269, 1
362, 660, 2
277, 611, 2
555, 205, 1
212, 202, 0
326, 608, 2
302, 669, 2
263, 648, 2
155, 169, 0
576, 253, 1
270, 634, 2
276, 633, 2
608, 279, 1
324, 600, 2
315, 618, 2
189, 143, 0
182, 150, 0
146, 186, 0
176, 158, 0
327, 611, 2
584, 289, 1
350, 625, 2
319, 636, 2
365, 603, 2
291, 613, 2
585, 292, 1
589, 279, 1
262, 624, 2
348, 668, 2
171, 193, 0
180, 183, 0
320, 581, 2
547, 200, 1
609, 279, 1
546, 212, 1
624, 230, 1
571, 281, 1
573, 209, 1
302, 623, 2
210, 155, 0
289, 646, 2
318, 599, 2
329, 630, 2
124, 169, 0
328, 619, 2
555, 215, 1
150, 187, 0
324, 621, 2
293, 631, 2
153, 182, 0
530, 208, 1
220, 170, 0
554, 243, 1
201, 175, 0
298, 600, 2
240, 145, 0
308, 614, 2
571, 263, 1
272, 609, 2
144, 221, 0
300, 622, 2
300, 638, 2
133, 178, 0
558, 238, 1
187, 127, 0
332, 631, 2
151, 160, 0
179, 199, 0
578, 250, 1
606, 254, 1
612, 263, 1
252, 187, 0
602, 233, 1
333, 676, 2
344, 629, 2
246, 165, 0
343, 620, 2
266, 631, 2
526, 243, 1
205, 197, 0
205, 210, 0
163, 179, 0
582, 244, 1
315, 594, 2
188, 178, 0
190, 175, 0
318, 638, 2
538, 245, 1
289, 638, 2
185, 205, 0
255, 179, 0
176, 177, 0
155, 176, 0
159, 171, 0
195, 157, 0
317, 630, 2
181, 209, 0
553, 275, 1
319, 630, 2
147, 174, 0
280, 668, 2
165, 168, 0
324, 613, 2
357, 642, 2
557, 269, 1
305, 654, 2
158, 161, 0
189, 136, 0
164, 191, 0
161, 203, 0
272, 588, 2
309, 652, 2
552, 296, 1
327, 592, 2
143, 155, 0
149, 151, 0
565, 285, 1
581, 168, 1
507, 290, 1
335, 650, 2
187, 154, 0
142, 195, 0
150, 186, 0
273, 626, 2
211, 134, 0
317, 610, 2
554, 253, 1
240, 624, 2
565, 291, 1
568, 218, 1
542, 199, 1
135, 200, 0
621, 243, 1
211, 152, 0
179, 195, 0
551, 195, 1
244, 202, 0
574, 256, 1
561, 255, 1
230, 224, 0
216, 180, 0
536, 269, 1
595, 257, 1
166, 154, 0
627, 236, 1
161, 211, 0
325, 582, 2
174, 207, 0
197, 132, 0
569, 268, 1
145, 129, 0
311, 615, 2
546, 265, 1
318, 652, 2
174, 164, 0
188, 194, 0
598, 267, 1
357, 640, 2
287, 630, 2
565, 254, 1
300, 617, 2
301, 606, 2
214, 152, 0
544, 190, 1
603, 239, 1
568, 247, 1
170, 187, 0
600, 282, 1
601, 250, 1
194, 173, 0
277, 620, 2
302, 632, 2
293, 625, 2
201, 165, 0
218, 183, 0
329, 628, 2
264, 640, 2
543, 216, 1
556, 263, 1
550, 242, 1
586, 241, 1
307, 603, 2
305, 623, 2
565, 251, 1
568, 221, 1
281, 624, 2
299, 601, 2
295, 630, 2
186, 210, 0
590, 250, 1
235, 186, 0
569, 257, 1
257, 669, 2
171, 143, 0
136, 224, 0
332, 619, 2
194, 147, 0
172, 175, 0
166, 232, 0
276, 637, 2
280, 618, 2
562, 209, 1
215, 178, 0
210, 166, 0
292, 635, 2
188, 145, 0
326, 640, 2
279, 618, 2
553, 195, 1
144, 152, 0
317, 638, 2
279, 601, 2
227, 186, 0
277, 624, 2
182, 173, 0
315, 616, 2
307, 625, 2
152, 195, 0
269, 599, 2
218, 130, 0
201, 196, 0
341, 664, 2
156, 179, 0
296, 568, 2
324, 663, 2
217, 151, 0
204, 180, 0
177, 157, 0
575, 233, 1
332, 617, 2
153, 170, 0
560, 203, 1
550, 187, 1
353, 645, 2
171, 172, 0
551, 251, 1
193, 146, 0
343, 650, 2
208, 177, 0
592, 237, 1
530, 197, 1
287, 597, 2
326, 612, 2
273, 595, 2
306, 625, 2
561, 244, 1
562, 276, 1
176, 192, 0
293, 584, 2
564, 267, 1
318, 640, 2
541, 247, 1
211, 134, 0
576, 213, 1
195, 194, 0
567, 255, 1
334, 650, 2
272, 580, 2
182, 206, 0
319, 592, 2
557, 279, 1
569, 212, 1
176, 167, 0
575, 211, 1
289, 599, 2
601, 262, 1
314, 601, 2
203, 187, 0
282, 574, 2
209, 151, 0
292, 594, 2
193, 163, 0
603, 249, 1
181, 142, 0
575, 228, 1
264, 612, 2
561, 210, 1
563, 232, 1
306, 647, 2
283, 675, 2
314, 648, 2
289, 608, 2
270, 605, 2
214, 224, 0
295, 582, 2
324, 596, 2
210, 177, 0
270, 639, 2
578, 274, 1
547, 222, 1
173, 164, 0
612, 253, 1
144, 209, 0
268, 588, 2
317, 628, 2
342, 607, 2
188, 151, 0
597, 246, 1
592, 235, 1
145, 184, 0
184, 184, 0
588, 273, 1
563, 240, 1
217, 174, 0
245, 600, 2
166, 171, 0
227, 227, 0
178, 221, 0
151, 158, 0
563, 290, 1
278, 561, 2
278, 640, 2
613, 275, 1
286, 634, 2
191, 161, 0
195, 170, 0
214, 165, 0
284, 617, 2
340, 632, 2
323, 637, 2
199, 160, 0
220, 204, 0
196, 167, 0
148, 187, 0
296, 591, 2
561, 223, 1
282, 597, 2
324, 637, 2
310, 582, 2
186, 166, 0
332, 636, 2
580, 200, 1
565, 279, 1
308, 645, 2
197, 184, 0
188, 152, 0
189, 186, 0
194, 135, 0
205, 161, 0
297, 600, 2
194, 174, 0
158, 223, 0
594, 271, 1
182, 180, 0
313, 587, 2
278, 620, 2
555, 229, 1
565, 255, 1
585, 268, 1
290, 606, 2
315, 568, 2
201, 143, 0
573, 246, 1
335, 554, 2
214, 145, 0
556, 240, 1
340, 638, 2
291, 594, 2
557, 226, 1
188, 189, 0
344, 639, 2
624, 230, 1
564, 200, 1
574, 226, 1
561, 266, 1
289, 631, 2
616, 250, 1
265, 638, 2
293, 584, 2
561, 223, 1
316, 640, 2
557, 234, 1
276, 573, 2
201, 148, 0
324, 610, 2
158, 193, 0
292, 598, 2
576, 291, 1
337, 662, 2
174, 166, 0
215, 194, 0
586, 224, 1
544, 207, 1
583, 292, 1
569, 249, 1
295, 614, 2
171, 142, 0
297, 584, 2
272, 622, 2
578, 263, 1
172, 185, 0
185, 176, 0
331, 612, 2
278, 677, 2
187, 209, 0
266, 661, 2
184, 180, 0
334, 642, 2
597, 248, 1
178, 149, 0
641, 259, 1
590, 283, 1
582, 226, 1
273, 634, 2
595, 252, 1
187, 238, 0
182, 195, 0
629, 311, 1
571, 226, 1
270, 663, 2
198, 207, 0
547, 301, 1
549, 237, 1
556, 230, 1
258, 589, 2
274, 635, 2
282, 638, 2
606, 272, 1
369, 665, 2
587, 261, 1
193, 180, 0
575, 235, 1
344, 651, 2
161, 212, 0
350, 606, 2
212, 163, 0
575, 246, 1
279, 629, 2
219, 172, 0
328, 629, 2
198, 172, 0
178, 172, 0
559, 250, 1
534, 222, 1
316, 640, 2
328, 594, 2
289, 616, 2
314, 659, 2
172, 160, 0
310, 656, 2
215, 184, 0
579, 269, 1
273, 627, 2
532, 178, 1
563, 258, 1
609, 274, 1
225, 162, 0
344, 601, 2
181, 150, 0
279, 645, 2
571, 224, 1
170, 199, 0
300, 626, 2
285, 664, 2
350, 604, 2
298, 633, 2
584, 275, 1
156, 113, 0
574, 240, 1
285, 646, 2
192, 183, 0
303, 630, 2
204, 161, 0
192, 195, 0
269, 595, 2
546, 212, 1
180, 201, 0
612, 217, 1
142, 158, 0
576, 237, 1
289, 630, 2
210, 164, 0
208, 196, 0
309, 641, 2
563, 263, 1
218, 178, 0
328, 631, 2
581, 192, 1
166, 155, 0
632, 251, 1
193, 123, 0
162, 188, 0
367, 673, 2
629, 235, 1
555, 238, 1
285, 596, 2
190, 171, 0
148, 142, 0
202, 169, 0
270, 663, 2
184, 176, 0
192, 183, 0
214, 176, 0
568, 235, 1
190, 176, 0
286, 666, 2
297, 642, 2
545, 244, 1
368, 595, 2
162, 172, 0
596, 215, 1
303, 624, 2
353, 624, 2
190, 124, 0
195, 174, 0
216, 142, 0
536, 232, 1
579, 293, 1
324, 643, 2
243, 191, 0
284, 643, 2
210, 167, 0
162, 209, 0
586, 250, 1
573, 230, 1
574, 272, 1
562, 294, 1
293, 631, 2
202, 169, 0
203, 153, 0
569, 298, 1
551, 212, 1
203, 176, 0
145, 163, 0
347, 579, 2
566, 245, 1
286, 602, 2
548, 216, 1
283, 624, 2
595, 226, 1
569, 265, 1
262, 660, 2
269, 644, 2
309, 595, 2
332, 657, 2
598, 268, 1
316, 664, 2
555, 250, 1
272, 615, 2
593, 267, 1
575, 299, 1
601, 260, 1
189, 171, 0
296, 654, 2
197, 186, 0
166, 178, 0
534, 308, 1
314, 638, 2
187, 150, 0
183, 147, 0
177, 158, 0
579, 204, 1
313, 620, 2
569, 242, 1
570, 277, 1
555, 222, 1
219, 139, 0
325, 673, 2
321, 611, 2
192, 169, 0
318, 587, 2
348, 650, 2
601, 232, 1
574, 186, 1
561, 227, 1
337, 629, 2
157, 172, 0
157, 189, 0
582, 285, 1
278, 597, 2
608, 269, 1
210, 160, 0
142, 180, 0
324, 567, 2
545, 266, 1
354, 620, 2
304, 691, 2
595, 301, 1
291, 602, 2
561, 284, 1
208, 149, 0
307, 591, 2
208, 181, 0
589, 198, 1
167, 191, 0
369, 592, 2
292, 629, 2
217, 182, 0
607, 259, 1
566, 247, 1
559, 253, 1
564, 254, 1
271, 606, 2
593, 269, 1
566, 254, 1
333, 589, 2
324, 601, 2
577, 275, 1
315, 613, 2
546, 246, 1
152, 155, 0
218, 158, 0
160, 229, 0
173, 158, 0
304, 634, 2
557, 285, 1
296, 606, 2
521, 230, 1
159, 155, 0
590, 254, 1
599, 185, 1
280, 630, 2
599, 250, 1
307, 600, 2
234, 202, 0
278, 610, 2
580, 226, 1
574, 234, 1
146, 172, 0
297, 610, 2
293, 591, 2
207, 155, 0
310, 640, 2
182, 179, 0
576, 322, 1
600, 263, 1
329, 589, 2
578, 226, 1
292, 602, 2
190, 192, 0
580, 237, 1
163, 198, 0
193, 219, 0
211, 182, 0
560, 257, 1
572, 237, 1
581, 233, 1
248, 218, 0
307, 589, 2
180, 180, 0
329, 644, 2
222, 175, 0
317, 635, 2
594, 237, 1
296, 622, 2
174, 162, 0
158, 187, 0
321, 604, 2
287, 616, 2
218, 187, 0
581, 244, 1
620, 216, 1
589, 265, 1
272, 608, 2
585, 275, 1
591, 216, 1
178, 183, 0
584, 245, 1
187, 216, 0
184, 144, 0
168, 196, 0
265, 596, 2
320, 666, 2
360, 677, 2
542, 234, 1
303, 650, 2
559, 221, 1
248, 616, 2
567, 252, 1
309, 611, 2
202, 147, 0
600, 262, 1
572, 259, 1
188, 183, 0
636, 231, 1
628, 227, 1
198, 167, 0
286, 621, 2
161, 134, 0
322, 626, 2
341, 601, 2
169, 148, 0
299, 638, 2
570, 238, 1
293, 633, 2
202, 180, 0
295, 618, 2
543, 256, 1
252, 656, 2
183, 100, 0
140, 192, 0
183, 231, 0
171, 170, 0
207, 194, 0
266, 619, 2
570, 222, 1
546, 234, 1
180, 187, 0
190, 211, 0
212, 190, 0
148, 148, 0
271, 625, 2
553, 260, 1
283, 666, 2
551, 278, 1
598, 268, 1
290, 562, 2
570, 228, 1
544, 201, 1
303, 672, 2
586, 256, 1
176, 178, 0
328, 600, 2
332, 668, 2
339, 585, 2
327, 640, 2
183, 168, 0
594, 244, 1
167, 197, 0
144, 212, 0
301, 592, 2
569, 232, 1
597, 198, 1
176, 142, 0
196, 182, 0
334, 653, 2
318, 604, 2
159, 144, 0
183, 168, 0
617, 228, 1
182, 184, 0
557, 209, 1
336, 652, 2
160, 141, 0
597, 247, 1
186, 173, 0
583, 281, 1
578, 255, 1
600, 235, 1
566, 234, 1
318, 639, 2
186, 198, 0
580, 244, 1
599, 247, 1
298, 622, 2
615, 231, 1
206, 178, 0
